frame_id,vehicle_id,class,x1,y1,x2,y2,confidence,zone,move_dx,move_dy,alignment,wrong_side
0,1,car,805.03,322.21,1227.78,614.46,0.9754,,,,,0
0,2,car,353.93,287.08,559.63,482.6,0.9525,,,,,0
0,3,car,565.53,119.0,665.02,204.4,0.9419,,,,,0
0,4,rickshaw,923.87,111.39,1041.85,248.93,0.9326,,,,,0
0,5,bike,595.07,175.51,652.01,288.42,0.9302,,,,,0
0,6,car,267.88,191.94,364.71,287.17,0.9184,,,,,0
0,7,rickshaw,793.34,157.79,924.99,297.43,0.9158,,,,,0
0,8,bike,686.47,200.35,763.32,334.76,0.906,,,,,0
0,9,car,499.32,105.67,569.55,169.43,0.9043,,,,,0
0,10,car,302.52,153.73,370.95,211.98,0.9032,,,,,0
0,11,bike,476.16,163.66,520.65,249.45,0.902,,,,,0
0,12,bike,1057.76,224.74,1185.25,430.91,0.8887,,,,,0
0,13,bike,362.36,126.8,385.73,169.28,0.8676,,,,,0
0,14,car,1078.87,60.59,1197.54,151.16,0.8669,,,,,0
0,15,bike,442.7,137.92,473.71,201.69,0.8665,,,,,0
0,16,car,1184.05,61.65,1279.63,160.08,0.8339,,,,,0
0,17,bike,861.88,97.32,908.63,165.59,0.8256,,,,,0
0,18,car,863.92,58.84,970.7,121.6,0.8224,,,,,0
0,19,bike,727.05,75.41,757.82,126.32,0.8089,,,,,0
0,20,bike,698.67,168.75,754.15,251.92,0.7946,,,,,0
0,21,bike,51.64,212.97,69.25,254.91,0.6537,,,,,0
0,22,bike,315.3,71.94,333.21,103.35,0.6461,,,,,0
0,23,car,487.06,86.23,527.41,123.23,0.6328,,,,,0
0,24,rickshaw,593.66,89.04,615.74,118.04,0.621,,,,,0
0,25,car,706.48,46.27,765.72,97.5,0.5271,,,,,0
0,26,bike,34.31,239.72,61.5,292.71,0.5265,,,,,0
0,27,bus,952.76,42.12,1039.76,109.56,0.4987,,,,,0
0,28,car,62.79,187.07,100.93,229.44,0.4569,,,,,0
0,29,car,733.19,55.43,793.78,96.55,0.4501,,,,,0
0,30,bike,593.45,88.88,615.72,118.04,0.4303,,,,,0
0,31,bike,97.69,189.8,121.17,229.9,0.4201,,,,,0
0,32,car,434.5,88.06,465.83,116.0,0.3255,,,,,0
0,33,bike,779.6,68.71,808.81,114.33,0.3117,,,,,0
0,34,rickshaw,0.0,224.47,26.09,291.08,0.2239,,,,,0
0,35,bike,115.24,166.4,137.43,209.09,0.1696,,,,,0
0,36,bike,59.35,189.35,93.72,229.77,0.1689,,,,,0
0,37,rickshaw,450.89,73.6,479.42,99.89,0.1602,,,,,0
0,38,car,803.78,58.67,860.9,112.21,0.1316,,,,,0
0,39,car,518.86,74.16,549.42,105.35,0.1264,,,,,0
0,40,bike,832.29,76.56,856.65,122.17,0.1185,,,,,0
0,41,car,451.39,74.63,478.62,101.52,0.112,,,,,0
1,1,car,805.22,322.18,1227.57,614.15,0.9749,,,,,0
1,2,car,353.93,287.07,559.67,482.62,0.9526,,,,,0
1,3,car,565.54,119.05,664.99,204.41,0.9414,,,,,0
1,4,rickshaw,923.89,111.42,1041.82,248.9,0.9334,,,,,0
1,5,bike,595.1,175.53,652.02,288.42,0.9299,,,,,0
1,6,car,267.84,191.94,364.73,287.22,0.9178,,,,,0
1,7,rickshaw,793.3,157.7,925.02,297.42,0.917,,,,,0
1,8,bike,686.46,200.34,763.33,334.77,0.9062,,,,,0
1,9,car,499.31,105.66,569.57,169.44,0.9039,,,,,0
1,10,car,302.53,153.72,370.98,211.99,0.9032,,,,,0
1,11,bike,476.15,163.66,520.65,249.45,0.9018,,,,,0
1,12,bike,1057.79,224.76,1185.25,430.89,0.8886,,,,,0
1,13,bike,362.35,126.71,385.77,169.27,0.8676,,,,,0
1,14,car,1078.42,60.7,1197.0,151.19,0.8566,,,,,0
1,15,bike,442.71,137.96,473.71,201.71,0.8661,,,,,0
1,16,car,1183.87,61.67,1279.44,160.1,0.8251,,,,,0
1,17,bike,861.84,97.19,908.65,165.54,0.8263,,,,,0
1,18,car,863.76,58.88,970.47,121.6,0.8292,,,,,0
1,19,bike,727.06,75.44,757.81,126.33,0.8065,,,,,0
1,20,bike,698.89,168.75,754.77,252.51,0.792,,,,,0
1,21,bike,51.62,213.02,69.22,254.92,0.6551,,,,,0
1,22,bike,315.28,71.77,333.28,103.36,0.6258,,,,,0
1,23,car,487.15,86.23,527.5,123.22,0.6237,,,,,0
1,24,rickshaw,593.62,88.93,615.78,118.05,0.5973,,,,,0
1,25,car,707.4,46.17,766.8,97.49,0.5307,,,,,0
1,26,bike,34.33,239.74,61.5,292.69,0.5372,,,,,0
1,27,bus,952.96,42.17,1039.88,109.55,0.4554,,,,,0
1,28,car,62.8,187.07,100.93,229.42,0.4572,,,,,0
