vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1,car,1.0,110,0,109,4.4,0.8624,0.927
2,car,1.0,950,0,949,38.0,0.8501,0.9019
3,car,0.909,88,0,89,3.52,0.6137,0.8526
4,car,1.0,164,0,163,6.56,0.7583,0.8726
5,car,1.0,673,0,718,26.92,0.668,0.83
6,car,0.759,79,0,93,3.16,0.3501,0.5805
7,car,1.0,40,0,42,1.6,0.4814,0.7064
8,car,1.0,17,0,17,0.68,0.3038,0.3815
9,car,1.0,2,0,1,0.08,0.3016,0.3258
10,car,1.0,950,0,949,38.0,0.8521,0.8952
11,car,1.0,368,0,406,14.72,0.7254,0.9079
12,bike,1.0,2,0,1,0.08,0.2593,0.3109
13,car,1.0,3,0,2,0.12,0.2752,0.3875
14,bike,1.0,1,0,0,0.04,0.1735,0.1735
15,bike,1.0,1,0,0,0.04,0.1693,0.1693
16,bike,1.0,1,0,0,0.04,0.1591,0.1591
17,bike,1.0,1,0,0,0.04,0.1542,0.1542
18,car,1.0,1,0,0,0.04,0.1024,0.1024
19,car,1.0,1,0,0,0.04,0.1007,0.1007
60,car,1.0,53,5,57,2.12,0.442,0.7121
141,car,1.0,34,12,48,1.36,0.4344,0.5771
151,bike,1.0,3,13,17,0.12,0.372,0.4055
524,car,1.0,54,43,143,2.16,0.309,0.4245
541,bike,1.0,2,45,46,0.08,0.3265,0.4169
604,car,1.0,42,52,102,1.68,0.2901,0.3729
678,bike,1.0,1,60,60,0.04,0.3442,0.3442
829,bike,1.0,32,76,122,1.28,0.3821,0.5229
915,car,1.0,2,87,89,0.08,0.3165,0.3226
980,car,1.0,56,94,149,2.24,0.5927,0.7486
1039,car,1.0,4,99,104,0.16,0.331,0.3821
1059,car,1.0,63,101,163,2.52,0.3942,0.5201
1080,bike,0.833,48,103,197,1.92,0.3223,0.4579
1167,truck,1.0,1,110,110,0.04,0.3142,0.3142
1196,car,1.0,27,112,140,1.08,0.3819,0.5245
1211,car,1.0,10,113,123,0.4,0.3092,0.3872
1373,car,1.0,6,125,130,0.24,0.4246,0.5525
1478,bike,1.0,6,134,141,0.24,0.3002,0.3651
1493,car,1.0,129,135,263,5.16,0.7969,0.8774
1524,car,1.0,3,138,140,0.12,0.3278,0.347
1604,car,1.0,82,146,227,3.28,0.5134,0.6997
1637,car,0.85,113,149,289,4.52,0.3741,0.6241
1864,car,1.0,15,168,183,0.6,0.3606,0.477
1884,car,1.0,7,169,178,0.28,0.2404,0.3186
1930,car,1.0,777,172,949,31.08,0.7696,0.8793
1940,car,1.0,10,173,182,0.4,0.3013,0.3578
1977,bike,1.0,3,176,178,0.12,0.3763,0.4319
1997,car,1.0,53,178,235,2.12,0.3307,0.5115
2055,car,1.0,54,184,268,2.16,0.2981,0.3984
2094,car,0.667,3,187,189,0.12,0.4515,0.483
2095,bike,1.0,6,187,192,0.24,0.4319,0.4998
2118,truck,0.941,17,189,205,0.68,0.5239,0.6661
2127,bike,1.0,11,190,214,0.44,0.3207,0.3772
2309,bus,1.0,745,205,949,29.8,0.8952,0.9488
2430,bike,1.0,2,217,218,0.08,0.3161,0.3554
2446,bike,1.0,5,218,223,0.2,0.2921,0.3583
2524,bike,1.0,4,224,227,0.16,0.3295,0.3799
2535,car,1.0,4,225,229,0.16,0.2722,0.3194
2536,truck,1.0,1,225,225,0.04,0.3412,0.3412
2819,bike,1.0,1,249,249,0.04,0.3774,0.3774
2965,car,1.0,90,259,374,3.6,0.2878,0.4294
3049,car,1.0,1,265,265,0.04,0.3973,0.3973
3114,car,1.0,2,269,270,0.08,0.3775,0.4089
3179,car,1.0,13,273,289,0.52,0.3329,0.4612
3247,car,1.0,1,277,277,0.04,0.3588,0.3588
3335,bike,1.0,2,282,284,0.08,0.3145,0.3406
3399,bike,1.0,45,286,342,1.8,0.3421,0.5479
3429,car,1.0,56,288,377,2.24,0.2563,0.3325
3442,car,1.0,298,289,612,11.92,0.4631,0.6396
3538,car,1.0,52,296,347,2.08,0.6095,0.7928
3748,car,1.0,3,311,313,0.12,0.3659,0.4185
4088,car,1.0,4,336,340,0.16,0.3563,0.3971
4308,car,1.0,244,354,599,9.76,0.7664,0.9297
4528,car,1.0,264,372,643,10.56,0.5205,0.7802
4604,bike,1.0,7,378,384,0.28,0.3212,0.4042
4669,car,1.0,2,383,384,0.08,0.3433,0.3594
4686,bike,1.0,10,385,396,0.4,0.3883,0.5073
4785,car,0.993,281,396,679,11.24,0.7764,0.9124
4789,bike,1.0,20,396,443,0.8,0.3285,0.3964
4993,bike,1.0,19,409,451,0.76,0.3812,0.5119
5063,car,1.0,4,413,426,0.16,0.3534,0.4344
5145,car,1.0,6,418,424,0.24,0.3194,0.4311
5179,car,1.0,25,420,444,1.0,0.544,0.7404
5239,car,1.0,4,425,428,0.16,0.2934,0.33
5344,car,1.0,98,432,549,3.92,0.5519,0.7933
