vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1,bus,1.0,540,0,539,21.6,0.8729,0.9256
2,car,1.0,39,0,41,1.56,0.8101,0.9052
3,car,1.0,11,0,10,0.44,0.8114,0.893
4,car,1.0,61,0,60,2.44,0.8374,0.9215
5,car,1.0,46,0,46,1.84,0.5673,0.8366
6,car,1.0,137,0,136,5.48,0.67,0.7873
7,bus,0.98,202,0,202,8.08,0.8293,0.954
8,bus,1.0,30,0,49,1.2,0.5421,0.7674
9,bus,1.0,181,0,180,7.24,0.8606,0.9547
10,car,1.0,147,0,146,5.88,0.6157,0.7565
11,car,1.0,22,0,22,0.88,0.4976,0.683
12,bus,1.0,47,0,55,1.88,0.3951,0.5517
13,car,1.0,101,0,100,4.04,0.4348,0.5923
14,car,1.0,120,0,120,4.8,0.4622,0.6431
15,bus,1.0,1,0,0,0.04,0.3501,0.3501
16,car,1.0,77,0,149,3.08,0.3081,0.6153
17,car,1.0,53,0,57,2.12,0.3403,0.421
18,bus,1.0,78,0,91,3.12,0.397,0.6728
19,bus,1.0,5,0,9,0.2,0.3063,0.3631
20,car,1.0,12,0,32,0.48,0.2776,0.3166
21,bus,1.0,243,0,331,9.72,0.3921,0.7207
22,car,1.0,2,0,9,0.08,0.2111,0.2425
23,car,1.0,1,0,0,0.04,0.1158,0.1158
24,truck,1.0,6,0,42,0.24,0.2336,0.3337
37,bus,1.0,207,3,237,8.28,0.5939,0.8207
76,car,1.0,449,9,460,17.96,0.6998,0.8842
244,car,1.0,105,29,182,4.2,0.6025,0.8613
370,car,1.0,160,41,209,6.4,0.5235,0.7189
574,car,1.0,27,64,101,1.08,0.3436,0.4102
648,car,1.0,18,70,96,0.72,0.3701,0.491
692,bus,1.0,5,73,83,0.2,0.3334,0.3793
742,car,1.0,13,78,90,0.52,0.3095,0.3842
747,bus,1.0,6,78,87,0.24,0.3134,0.4026
780,bus,1.0,4,81,86,0.16,0.3057,0.3395
